"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","state","Biodomain","color"
"1-phosphatidylinositol binding",0.225190839694656,0.985709682079319,0.125033367555272,-0.8980044345898,-1.1989166364789,1,"SNX10","2","Lipid Metabolism","#999999"
"1-phosphatidylinositol-4-phosphate 5-kinase activity",0.868200836820084,0.985709682079319,0.0542315935495841,0.565410199556541,0.75629546726357,1,"PIP5K1C","2","Lipid Metabolism","#999999"
"13-prostaglandin reductase activity",0.104602510460251,0.863609641387419,0.199915231309662,0.953436807095344,1.2753217683268,1,"PTGR1","2","Lipid Metabolism","#999999"
"AP-1 adaptor complex",0.690376569037657,0.985709682079319,0.0650877566917313,0.651884700665188,0.871964185786234,1,"AP1S1","2","Proteostasis","#C7B169"
"ATPase-coupled intramembrane lipid transporter activity",0.454732510288066,0.985709682079319,0.0857844408075645,0.607539299826413,1.02209813155264,2,"ATP8A1","2","Lipid Metabolism","#999999"
"B cell apoptotic process",0.702928870292887,0.985709682079319,0.0642140881844605,0.645232815964523,0.863066592053721,1,"CRKL","2","Apoptosis","#663399"
"B cell differentiation",0.347328244274809,0.985709682079319,0.096887770327544,-0.818181818181818,-1.09234626879189,1,"DCAF1","2","Immune Response","#99cccc"
"B cell homeostasis",0.290076335877863,0.985709682079319,0.107972360317345,-0.858093126385809,-1.14563145263539,1,"DOCK11","2","Immune Response","#99cccc"
"B cell receptor signaling pathway",0.161087866108787,0.9739503580565,0.158514105424824,0.917960088691796,1.22786793508674,1,"MAPK1","2","Immune Response","#99cccc"
"CA3 pyramidal cell dendrite",0.284351145038168,0.985709682079319,0.109250039480711,-0.862527716186253,-1.151552028618,1,"SLC4A10","2","Synapse","#339933"
"CDP-diacylglycerol biosynthetic process",0.902671755725191,0.985709682079319,0.0482149710025564,-0.545454545454545,-0.728230845861257,1,"CDS2","2","Lipid Metabolism","#999999"
"CENP-A containing nucleosome assembly",0.941422594142259,0.985709682079319,0.0504983044100709,0.527716186252772,0.705875769445999,1,"RUVBL1","2","Epigenetic","#cc3333"
"COPII vesicle coating",0.800387596899225,0.985709682079319,0.0544555953940371,-0.466666666666667,-0.780764693424152,2,"c(""SEC22B"", ""CUL3"")","2","Proteostasis","#C7B169"
"COPII-coated ER to Golgi transport vesicle",0.244186046511628,0.985709682079319,0.120433371642259,-0.711111111111111,-1.18973667569395,2,"c(""ERGIC3"", ""ECPAS"")","2","Proteostasis","#C7B169"
"COPII-coated vesicle budding",0.244769874476987,0.985709682079319,0.12563992130984,0.878048780487805,1.17448237269166,1,"VAPA","2","Proteostasis","#C7B169"
"Cul2-RING ubiquitin ligase complex",0.835271317829457,0.985709682079319,0.0524827622635459,-0.451111111111111,-0.754739203643347,2,"c(""CUL2"", ""ELOC"")","2","Proteostasis","#C7B169"
"Cul3-RING ubiquitin ligase complex",0.924686192468619,0.985709682079319,0.0513223330421143,0.534368070953437,0.714773363178511,1,"CUL3","2","Proteostasis","#C7B169"
"Cul4-RING E3 ubiquitin ligase complex",0.218992248062016,0.985709682079319,0.128142916898415,-0.726666666666667,-1.21576216547475,2,"c(""DCAF1"", ""DCAF8"")","2","Proteostasis","#C7B169"
"DNA-binding transcription activator activity, RNA polymerase II-specific",0.324267782426778,0.985709682079319,0.106729884364606,0.840354767184035,1.12406267487409,1,"SMAD4","2","Epigenetic","#cc3333"
"DNA-binding transcription repressor activity, RNA polymerase II-specific",0.488372093023256,0.985709682079319,0.0787113806986485,-0.587967070313619,-0.983708420136234,2,"KCNIP3","2","Epigenetic","#cc3333"
"ER overload response",0.447698744769874,0.985709682079319,0.0875697115548511,0.773835920177384,1.03508673754896,1,"WFS1","2","Proteostasis","#C7B169"
"ER to Golgi transport vesicle membrane",0.87037037037037,0.985709682079319,0.053347785067549,0.426666666666667,0.717805750048424,2,"c(""VTI1A"", ""SEC22B"")","2","Proteostasis","#C7B169"
"ER-associated misfolded protein catabolic process",0.824427480916031,0.985709682079319,0.0523759084097997,-0.585365853658537,-0.781516029704763,1,"VCP","2","Proteostasis","#C7B169"
"ERAD pathway",0.49031007751938,0.985709682079319,0.0785029047348687,-0.586666666666667,-0.981532757447505,2,"c(""SEL1L"", ""VCP"")","2","Proteostasis","#C7B169"
"ESCRT III complex",0.673640167364017,0.985709682079319,0.0662842187012672,0.658536585365854,0.880861779518746,1,"CHMP1B","2","Endolysosome","#3366cc"
"ESCRT-0 complex",0.708015267175573,0.985709682079319,0.059476028695732,-0.643015521064302,-0.858483517478717,1,"STAM","2","Endolysosome","#3366cc"
