"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","state","Biodomain","color"
"'de novo' posttranslational protein folding",0.457142857142857,0.961571862787668,0.0850427463764322,-0.754237288135593,-1.01342430346144,1,"CHCHD4","2","Proteostasis","#C7B169"
"1-phosphatidylinositol 4-kinase activity",0.539805825242718,0.96366612111293,0.0736212741014394,0.741525423728814,0.989908327555658,1,"PI4KA","2","Lipid Metabolism","#999999"
"1-phosphatidylinositol-4-phosphate 5-kinase activity",0.994174757281553,0.999024390243902,0.0445961615888961,0.504237288135593,0.673137662737847,1,"PIP5K1C","2","Lipid Metabolism","#999999"
"AP-1 adaptor complex",0.957627118644068,0.998019801980198,0.0400845633477088,-0.348936170212766,-0.594934939921092,2,"c(""AP1S1"", ""AP1G1"")","2","Proteostasis","#C7B169"
"ATPase-coupled intramembrane lipid transporter activity",0.222448979591837,0.885333333333333,0.130777137971974,-0.885593220338983,-1.18991954732271,1,"ATP8A1","2","Lipid Metabolism","#999999"
"Arp2/3 complex-mediated actin nucleation",0.0673469387755102,0.885333333333333,0.248911114434702,-0.970338983050847,-1.30378744658804,1,"ACTR2","2","Structural Stabilization","#ff9999"
"Arp2/3 protein complex",0.0673469387755102,0.885333333333333,0.248911114434702,-0.970338983050847,-1.30378744658804,1,"ACTR2","2","Structural Stabilization","#ff9999"
"B cell receptor signaling pathway",0.761224489795918,0.987793668648562,0.059221919380382,-0.627118644067797,-0.842622454563448,1,"MAPK1","2","Immune Response","#99cccc"
"CCR3 chemokine receptor binding",0.761224489795918,0.987793668648562,0.059221919380382,-0.63135593220339,-0.848315849526714,1,"NARS1","2","Immune Response","#99cccc"
"CDP-diacylglycerol metabolic process",0.151020408163265,0.885333333333333,0.161978948883402,-0.919491525423729,-1.23546670702884,1,"CDIPT","2","Lipid Metabolism","#999999"
"COPII vesicle coating",0.757341576506955,0.987793668648562,0.0466015072985992,-0.364858058133298,-0.779609211505245,4,"c(""TRAPPC6B"", ""NAPA"", ""SCFD1"")","2","Proteostasis","#C7B169"
"COPII-coated vesicle budding",0.0276315364616976,0.837799524622743,0.352487857583619,-0.991525423728814,-1.33225442140437,1,"VAPA","2","Proteostasis","#C7B169"
"Cul2-RING ubiquitin ligase complex",0.438775510204082,0.961571862787668,0.10027910675413,0.507968660010811,1.01046436747859,3,"c(""RBX1"", ""CUL2"")","2","Proteostasis","#C7B169"
"Cul3-RING ubiquitin ligase complex",0.190821256038647,0.885333333333333,0.156312403073186,0.741344021383619,1.24519903752565,2,"c(""RBX1"", ""CUL3"")","2","Proteostasis","#C7B169"
"Cul4A-RING E3 ubiquitin ligase complex",0.0388273865706269,0.840193918600967,0.321775918075361,0.983050847457627,1.31233561138807,1,"RBX1","2","Proteostasis","#C7B169"
"Cul4B-RING E3 ubiquitin ligase complex",0.0388273865706269,0.840193918600967,0.321775918075361,0.983050847457627,1.31233561138807,1,"RBX1","2","Proteostasis","#C7B169"
"Cul5-RING ubiquitin ligase complex",0.0388273865706269,0.840193918600967,0.321775918075361,0.983050847457627,1.31233561138807,1,"RBX1","2","Proteostasis","#C7B169"
"Cul7-RING ubiquitin ligase complex",0.0388273865706269,0.840193918600967,0.321775918075361,0.983050847457627,1.31233561138807,1,"RBX1","2","Proteostasis","#C7B169"
"Dsl1/NZR complex",0.23495145631068,0.885333333333333,0.123257226381337,0.877118644067797,1.17092013602298,1,"ZW10","2","Proteostasis","#C7B169"
"ER-associated misfolded protein catabolic process",0.6,0.96366612111293,0.0683110858318647,0.716101694915254,0.955968613468036,1,"VCP","2","Proteostasis","#C7B169"
"ERAD pathway",0.6,0.96366612111293,0.0683110858318647,0.716101694915254,0.955968613468036,1,"VCP","2","Proteostasis","#C7B169"
"ESCRT III complex",0.186440677966102,0.885333333333333,0.130105630751129,-0.736170212765957,-1.2551676171506,2,"c(""CHMP2A"", ""CHMP1B"")","2","Endolysosome","#3366cc"
"ESCRT-0 complex",0.536231884057971,0.96366612111293,0.0855356947987884,0.570212765957447,0.957758296923848,2,"c(""HGS"", ""STAM"")","2","Endolysosome","#3366cc"
"F-actin capping protein complex",0.530612244897959,0.96366612111293,0.0770736734944102,-0.724576271186441,-0.973570538718578,1,"ADD2","2","Structural Stabilization","#ff9999"
"Fc-gamma receptor signaling pathway involved in phagocytosis",0.415602836879433,0.949682352279755,0.0709609456938284,-0.378518054045587,-1.05969082991486,9,"c(""ACTR2"", ""MAPK3"", ""MAPK1"", ""PAK1"", ""CYFIP2"", ""BAIAP2"", ""NCKAP1"")","2","Immune Response","#99cccc"
"Fc-gamma receptor signaling pathway involved in phagocytosis",0.415602836879433,0.949682352279755,0.0709609456938284,-0.378518054045587,-1.05969082991486,9,"c(""ACTR2"", ""MAPK3"", ""MAPK1"", ""PAK1"", ""CYFIP2"", ""BAIAP2"", ""NCKAP1"")","2","Autophagy","#9933ff"
"Fc-gamma receptor signaling pathway involved in phagocytosis",0.415602836879433,0.949682352279755,0.0709609456938284,-0.378518054045587,-1.05969082991486,9,"c(""ACTR2"", ""MAPK3"", ""MAPK1"", ""PAK1"", ""CYFIP2"", ""BAIAP2"", ""NCKAP1"")","2","Immune Response","#99cccc"
"Fc-gamma receptor signaling pathway involved in phagocytosis",0.415602836879433,0.949682352279755,0.0709609456938284,-0.378518054045587,-1.05969082991486,9,"c(""ACTR2"", ""MAPK3"", ""MAPK1"", ""PAK1"", ""CYFIP2"", ""BAIAP2"", ""NCKAP1"")","2","Autophagy","#9933ff"
"G protein-coupled acetylcholine receptor signaling pathway",0.139805825242718,0.885333333333333,0.16440575583821,0.923728813559322,1.23314294518362,1,"AGRN","2","Synapse","#339933"
"G protein-coupled receptor internalization",0.403883495145631,0.945454545454545,0.0891647117820678,0.788135593220339,1.0521311367163,1,"ARRB1","2","Endolysosome","#3366cc"
"GABA-ergic synapse",0.740816326530612,0.981642930633021,0.0605092988656667,-0.644067796610169,-0.865396034416514,1,"ATP2B1","2","Synapse","#339933"
