"UniqID","GeneName","UniProtID","ENSG","Tissue","Log2_FC","CI_Upr","CI_Lwr","PVal","Cor_PVal"
"MDK|P21741","MDK","P21741","ENSG00000110492","DLPFC",1.41325452625135,1.63198802478665,1.19452102771605,1.94684330690747e-25,8.96600558137001e-22
"SMOC1|Q9H4F8","SMOC1","Q9H4F8","ENSG00000198732","DLPFC",0.735006541868705,0.848830350247292,0.621182733490119,2.03379961015538e-25,8.96600558137001e-22
"NTN1|O95631","NTN1","O95631","ENSG00000065320","DLPFC",1.03049005406703,1.20506423937283,0.855915868761224,1.50933904889719e-22,4.43594746470885e-19
"CTHRC1|Q96CG8","CTHRC1","Q96CG8","ENSG00000164932","DLPFC",1.00497917550832,1.17945584088685,0.830502510129797,3.42357165033598e-21,7.54640781025308e-18
"APP|P05067","APP","P05067","ENSG00000142192","DLPFC",0.657275693134546,0.780990893971306,0.533560492297786,1.69084400225244e-19,2.98163431357195e-16
"SPOCK2|Q92563","SPOCK2","Q92563","ENSG00000107742","DLPFC",0.170268846108292,0.207733413794519,0.132804278422065,1.35371192045452e-15,1.98927966710792e-12
"SFRP1|Q8N474","SFRP1","Q8N474","ENSG00000104332","DLPFC",0.547816704250189,0.673400739455849,0.422232669044528,4.44846903923491e-14,5.60316450270489e-11
"FLT1|P17948","FLT1","P17948","ENSG00000102755","DLPFC",0.305956694825925,0.381166965043339,0.23074642460851,2.99992721900545e-13,3.30629478624638e-10
"SPOCK3|Q9BQ16","SPOCK3","Q9BQ16","ENSG00000196104","DLPFC",0.235435485867541,0.297081268753871,0.173789702981211,4.63116649658434e-12,4.53699944448713e-09
"GPNMB|Q14956","GPNMB","Q14956","ENSG00000136235","DLPFC",0.464314594873782,0.588316358548634,0.340312831198931,1.1121553035005e-11,9.24742485611846e-09
"GDF10|P55107","GDF10","P55107","ENSG00000266524","DLPFC",0.662852289122324,0.835884062210526,0.489820516034122,1.15369936959627e-11,9.24742485611846e-09
"SPOCK1|Q08629","SPOCK1","Q08629","ENSG00000152377","DLPFC",0.156157915878183,0.199183632176027,0.113132199580339,3.70790573610111e-11,2.72438373960029e-08
"SLIT2|O94813-2","SLIT2","O94813-2","ENSG00000145147","DLPFC",0.186815388878796,0.240073447466265,0.133557330291326,1.38284376900215e-10,9.37887193176302e-08
"PAFAH1B3|Q15102","PAFAH1B3","Q15102","ENSG00000079462","DLPFC",0.16610540870125,0.215543313515503,0.116667503886997,5.95867661297564e-10,3.75268940690045e-07
"GPC4|O75487","GPC4","O75487","ENSG00000076716","DLPFC",0.148447600290132,0.192914093226074,0.10398110735419,7.42410458824332e-10,4.10862536266204e-07
"ICAM1|P05362","ICAM1","P05362","ENSG00000090339","DLPFC",0.309467522770727,0.402178040988407,0.216757004553047,7.45582463452338e-10,4.10862536266204e-07
"COL25A1|Q9BXS0","COL25A1","Q9BXS0","ENSG00000188517","DLPFC",1.29697867925623,1.67782275330837,0.916134605204099,9.06051909112344e-10,4.69921157802561e-07
"HTRA1|Q92743","HTRA1","Q92743","ENSG00000166033","DLPFC",0.217217999628649,0.283772029699696,0.150663969557601,1.58594168107937e-09,7.76847100115379e-07
"NRN1|A0A087WWT2","NRN1","A0A087WWT2","ENSG00000124785","DLPFC",-0.241553070504037,-0.166115193819276,-0.316990947188798,2.95294942120866e-09,1.28393798448765e-06
"GFAP|P14136","GFAP","P14136","ENSG00000131095","DLPFC",0.366616003423923,0.481236513599414,0.251995493248432,3.05803534923904e-09,1.28393798448765e-06
"ACTN4|O43707","ACTN4","O43707","ENSG00000130402","DLPFC",-0.0971986058393126,-0.0668092809478923,-0.127587930730733,3.05795861872112e-09,1.28393798448765e-06
"GNAI1|P63096","GNAI1","P63096","ENSG00000127955","DLPFC",-0.0761781717594971,-0.052295838207099,-0.100060505311895,3.33559382347352e-09,1.33681503370755e-06
"PLEC|Q15149","PLEC","Q15149","ENSG00000178209","DLPFC",0.111785229513828,0.147173483154117,0.0763969758735386,4.54382282575789e-09,1.74186460237858e-06
"PBXIP1|Q96AQ6","PBXIP1","Q96AQ6","ENSG00000163346","DLPFC",0.159435837331829,0.210138657992942,0.108733016670716,5.23751317780948e-09,1.92413140369776e-06
"FRZB|Q92765","FRZB","Q92765","ENSG00000162998","DLPFC",0.243030629161411,0.321458312915812,0.164602945407011,8.94262996357842e-09,3.15388673555484e-06
"TMEM30A|Q9NV96","TMEM30A","Q9NV96","ENSG00000112697","DLPFC",0.123996966833949,0.164455287099821,0.0835386465680771,1.14853557387933e-08,3.89486082880542e-06
"HMGCS1|Q01581","HMGCS1","Q01581","ENSG00000112972","DLPFC",-0.235100993056292,-0.158211137357565,-0.31199084875502,1.23198373817719e-08,4.02311134055863e-06
"FHL1|Q13642-4","FHL1","Q13642-4","ENSG00000022267","DLPFC",0.136222658358365,0.181365211081269,0.0910801056354612,1.81892607227959e-08,5.72766827831757e-06
"PTRHD1|Q6GMV3","PTRHD1","Q6GMV3","ENSG00000184924","DLPFC",0.113024150527165,0.150567169120003,0.0754811319343265,1.94827348354847e-08,5.92342320842995e-06
"BRINP1|O60477","BRINP1","O60477","ENSG00000078725","DLPFC",-0.0709822553024713,-0.0471299343826894,-0.0948345762222532,2.71938061941152e-08,7.99225964045046e-06
"SNAP25|P60880","SNAP25","P60880","ENSG00000132639","DLPFC",-0.120532685783096,-0.0799390694987438,-0.161126302067448,2.90144330934373e-08,8.25226634144634e-06
"AAMP|C9JG97","AAMP","C9JG97","ENSG00000127837","DLPFC",0.0992671986629252,0.132907836178128,0.0656265611477226,3.46282223753766e-08,9.54115739636547e-06
"RTN4|Q9NQC3","RTN4","Q9NQC3","ENSG00000115310","DLPFC",-0.0772646786996099,-0.0507520614438451,-0.103777295955375,4.90516090644388e-08,1.23923433762828e-05
