peptide,gene_short_name,state,pvalue,effect
MDK|P21741,MDK,2,0.505327909304606,0.308488872288066
SMOC1|Q9H4F8,SMOC1,2,0.616642183327822,0.147832412371389
NTN1|O95631,NTN1,2,0.997821170583899,0.0578006567021562
CTHRC1|Q96CG8,CTHRC1,2,0.832320933092582,0.149024926076038
APP|P05067,APP,2,0.247158873880284,0.202439056775337
SPOCK2|Q92563,SPOCK2,2,0.110324859173237,0.0692768762843435
SFRP1|Q8N474,SFRP1,2,0.999836473067608,-0.0192242158159981
FLT1|P17948,FLT1,2,0.999785613103871,-0.0148335479490332
SPOCK3|Q9BQ16,SPOCK3,2,0.999603148401921,-0.0105372467765938
GPNMB|Q14956,GPNMB,2,0.882379912409985,0.0924536635756008
GDF10|P55107,GDF10,2,0.925150546397996,0.103740835129316
SPOCK1|Q08629,SPOCK1,2,0.910781427844557,0.0252114831977874
SLIT2|O94813-2,SLIT2,2,0.999912634116824,-0.00775578370856209
PAFAH1B3|Q15102,PAFAH1B3,2,0.00107752938597316,0.0940432449159196
GPC4|O75487,GPC4,2,4.04068068710073e-05,0.127322369261555
ICAM1|P05362,ICAM1,2,0.998448637965302,0.0240811052648512
COL25A1|Q9BXS0,COL25A1,2,0.459658193799256,0.353682646602224
HTRA1|Q92743,HTRA1,2,0.89935412155029,0.0427421129608085
NRN1|A0A087WWT2,NRN1,2,0.456755207755183,0.0569195163811122
GFAP|P14136,GFAP,2,0.979018812683364,0.0491951696980157
ACTN4|O43707,ACTN4,2,0.999988748403376,0.00249608570399245
GNAI1|P63096,GNAI1,2,0.998043002035444,-0.00669699031623003
PLEC|Q15149,PLEC,2,0.0442534102278043,0.0582705342189689
PBXIP1|Q96AQ6,PBXIP1,2,0.0429545376764645,0.0815948685976841
FRZB|Q92765,FRZB,2,0.941521220626595,0.0517457378943816
TMEM30A|Q9NV96,TMEM30A,2,7.75273658626396e-06,0.100823539093314
HMGCS1|Q01581,HMGCS1,2,0.00565633414531785,-0.146958071223983
FHL1|Q13642-4,FHL1,2,0.215704144527645,0.0620773742736019
PTRHD1|Q6GMV3,PTRHD1,2,3.60090224736931e-05,0.0966608661684755
BRINP1|O60477,BRINP1,2,0.141049948480688,-0.0367406880480215
SNAP25|P60880,SNAP25,2,0.97423984085742,-0.0149806605509401
AAMP|C9JG97,AAMP,2,0.0382692026604798,0.0465953427830425
RTN4|Q9NQC3,RTN4,2,0.656893586268836,0.0238837353572534
GMPR|P36959,GMPR,2,0.657956206024013,0.0644578306067806
PCM1|Q15154,PCM1,2,0.000187302405856404,-0.0630254700407678
