peptide,gene_short_name,state,pvalue,effect
MDK|P21741,MDK,2,0.351101904507824,0.491173360014183
SMOC1|Q9H4F8,SMOC1,2,0.646626201490215,0.198609615657614
NTN1|O95631,NTN1,2,0.526584530472619,0.299068779816382
CTHRC1|Q96CG8,CTHRC1,2,0.751352185449291,0.241764083113868
APP|P05067,APP,2,0.958654601329855,0.093087678438238
SPOCK2|Q92563,SPOCK2,2,0.574250652034077,0.0543992695882373
SFRP1|Q8N474,SFRP1,2,0.972837903872348,0.0605929644381404
FLT1|P17948,FLT1,2,0.976788360527911,0.0447723699228122
SPOCK3|Q9BQ16,SPOCK3,2,0.49579128259053,0.0759152591006401
GPNMB|Q14956,GPNMB,2,0.728249088961705,-0.133655917252264
GDF10|P55107,GDF10,2,0.760305623055769,0.221789932190837
SPOCK1|Q08629,SPOCK1,2,0.688727663620109,0.0519448388492545
SLIT2|O94813-2,SLIT2,2,0.975510260210527,0.0279859595259032
PAFAH1B3|Q15102,PAFAH1B3,2,0.00319662204695403,-0.090995193548623
GPC4|O75487,GPC4,2,0.995569042212737,-0.0140998998947506
ICAM1|P05362,ICAM1,2,0.964821534700045,0.0564886381192867
COL25A1|Q9BXS0,COL25A1,2,0.700592875887211,0.326228117519339
HTRA1|Q92743,HTRA1,2,0.45187566319008,0.0995918656223088
NRN1|A0A087WWT2,NRN1,2,0.0118211896503242,-0.162389185381684
GFAP|P14136,GFAP,2,0.878013065515918,0.0790042447352231
ACTN4|O43707,ACTN4,2,0.992160192324507,-0.0109828369278286
GNAI1|P63096,GNAI1,2,0.999622428421769,-0.00403189504751782
PLEC|Q15149,PLEC,2,0.999681907442257,-0.00497438460989338
PBXIP1|Q96AQ6,PBXIP1,2,0.982355962767573,0.0231160252814977
FRZB|Q92765,FRZB,2,0.870158686110603,0.085967338654457
TMEM30A|Q9NV96,TMEM30A,2,0.141233763598138,-0.0586067179572731
HMGCS1|Q01581,HMGCS1,2,0.937419238382108,0.0506380328442234
FHL1|Q13642-4,FHL1,2,0.932834997847785,-0.0285252918731802
PTRHD1|Q6GMV3,PTRHD1,2,0.992804745675775,-0.0131924396391865
BRINP1|O60477,BRINP1,2,0.999957718274736,-0.00229744661587868
SNAP25|P60880,SNAP25,2,0.848351452963352,-0.0293790592045017
AAMP|C9JG97,AAMP,2,0.95434701673407,0.0183936573579385
RTN4|Q9NQC3,RTN4,2,0.0282370902113318,-0.0536116534464121
GMPR|P36959,GMPR,2,0.997857111880969,-0.0181003040095998
PCM1|Q15154,PCM1,2,0.974125227100262,-0.0127211703860885
NXPH1|P58417,NXPH1,2,0.999993726943583,0.00259023693747235
PLXNB1|O43157,PLXNB1,2,0.846616631134834,0.0246061690119629
CBARP|Q8N350,CBARP,2,0.999538581848244,-0.00909932424659187
RPH3A|Q9Y2J0,RPH3A,2,0.834783801105176,-0.0372197481125724
AMPD2|Q01433,AMPD2,2,0.379721162287418,-0.0517781162263204
TMEM63C|Q9P1W3,TMEM63C,2,0.255980816401198,-0.0563667167134063
ABCC5|O15440,ABCC5,2,0.905735905010373,0.0345224662373057
VPS39|Q96JC1-2,VPS39,2,0.942500385541515,0.0125215806061338
PLEC|Q15149-8,PLEC,2,0.909811194375931,-0.070048935263409
MAP3K5|Q99683,MAP3K5,2,0.879482504967636,0.0153762293980255
PALM3|A6NDB9,PALM3,2,0.999104398692356,0.00862191392546424
RPS8|P62241,RPS8,2,0.997624170408931,0.00646211865706679
HSPB1|P04792,HSPB1,2,0.999909295438164,0.00855235192839277
DBT|P11182,DBT,2,0.807622281653775,-0.0277268829050583
RPL10|P27635,RPL10,2,0.191352821806512,-0.0631224724047107
CD109|Q6YHK3,CD109,2,0.999730121784117,0.00928439092282574
VGF|O15240,VGF,2,0.921529644035745,-0.0538161576619895
ANO6|Q4KMQ2,ANO6,2,0.985926419229668,-0.0195154269642497
ITGA7|Q13683,ITGA7,2,0.0893176582059632,0.077026113089956
